PackageName,Destination,RequiredBudget,Description
Cultural Trail 1,Andaman,58737,"6D/5N: Day 1: Arrive Port Blair, visit Cellular Jail. Day 2: Explore Ross Island ruins. Day 3: Ferry to Havelock, visit Radhanagar Beach. Day 4: Discover Neil Island’s cultural sites. Day 5: Anthropological Museum tour. Day 6: Depart Port Blair."
Royal Heritage 2,Switzerland,139589,"9D/8N: Day 1: Arrive Geneva, visit Chillon Castle. Day 2-3: Explore Lucerne’s historic sites. Day 4-5: Tour Bern’s old town, Zytglogge. Day 6-7: Visit Zermatt, Matterhorn Museum. Day 8: Stroll Lausanne’s heritage sites. Day 9: Depart Geneva."
Budget Backpacking 3,Varanasi,79322,"7D/6N: Day 1: Arrive Varanasi, explore local markets. Day 2: Visit Ganges Ghats, boat ride. Day 3: Tour Sarnath’s ruins. Day 4: Explore Banaras Hindu University. Day 5: Walk Assi Ghat. Day 6: Visit local temples. Day 7: Depart Varanasi."
Romantic Getaway 4,Manali,129009,"5D/4N: Day 1: Arrive Manali, relax at hotel. Day 2: Visit Rohtang Pass, enjoy snow views. Day 3: Stroll Vashisht Hot Springs, spa evening. Day 4: Explore Hadimba Temple, romantic dinner. Day 5: Depart Manali."
Adventure Rush 5,Varanasi,37762,"5D/4N: Day 1: Arrive Varanasi, explore streets. Day 2: Boat ride on Ganges, adventure walk. Day 3: Trek to Sarnath, explore ruins. Day 4: Visit Kashi Vishwanath, evening cycling. Day 5: Depart Varanasi."
Adventure Rush 6,Switzerland,107154,"7D/6N: Day 1: Arrive Zurich, city adventure. Day 2-3: Hike Jungfraujoch trails. Day 4: Paragliding in Interlaken. Day 5-6: Ski or trek in Zermatt, Matterhorn views. Day 7: Depart Zurich."
City Lights 7,Manali,23292,"10D/9N: Day 1: Arrive Manali, explore Mall Road. Day 2-3: Visit Hadimba Temple, nightlife. Day 4-5: Tour Old Manali, cafes. Day 6-8: Explore Rohtang Pass, evening markets. Day 9: Relax in Vashisht. Day 10: Depart Manali."
Foodie Fiesta 8,Kerala,126441,"6D/5N: Day 1: Arrive Kochi, local street food tour. Day 2: Alleppey houseboat, seafood dinner. Day 3: Munnar tea plantation, spice tasting. Day 4: Varkala Beach, coastal cuisine. Day 5: Cooking class in Kochi. Day 6: Depart Kochi."
Desert Adventure 9,Sydney,86024,"4D/3N: Day 1: Arrive Sydney, explore city. Day 2: Blue Mountains desert hike. Day 3: Outback adventure, Bondi Beach. Day 4: Depart Sydney."
Romantic Getaway 10,Tokyo,66806,"6D/5N: Day 1: Arrive Tokyo, evening Shibuya stroll. Day 2: Visit Meiji Shrine, romantic lunch. Day 3: Explore Odaiba, seaside dinner. Day 4: Tour Senso-ji, night views from Tokyo Tower. Day 5: Stroll Shinjuku Gyoen. Day 6: Depart Tokyo."
Wildlife Safari 11,Coorg,99562,"9D/8N: Day 1: Arrive Coorg, settle in. Day 2-3: Explore Dubare Elephant Camp. Day 4-5: Wildlife safari in Nagarhole Park. Day 6-7: Visit Talacauvery, birdwatching. Day 8: Abbey Falls trek. Day 9: Depart Coorg."
Beach Bliss 12,Singapore,115652,"4D/3N: Day 1: Arrive Singapore, relax at Sentosa Beach. Day 2: Water activities at Palawan Beach. Day 3: Explore Marina Bay, evening beach stroll. Day 4: Depart Singapore."
Wildlife Safari 13,Andaman,48685,"8D/7N: Day 1: Arrive Port Blair, relax. Day 2-3: Havelock Island, snorkeling. Day 4-5: Neil Island, wildlife spotting. Day 6-7: Mahatma Gandhi Marine Park tour. Day 8: Depart Port Blair."
Adventure Rush 14,Maldives,144237,"4D/3N: Day 1: Arrive Malé, water sports intro. Day 2: Snorkeling in Ari Atoll. Day 3: Scuba diving, island hopping. Day 4: Depart Malé."
Adventure Rush 15,Singapore,126357,"4D/3N: Day 1: Arrive Singapore, city adventure. Day 2: Kayaking at Sentosa. Day 3: Night safari, cycling at Marina Bay. Day 4: Depart Singapore."
Royal Heritage 16,Andaman,65269,"6D/5N: Day 1: Arrive Port Blair, visit Ross Island. Day 2: Explore Cellular Jail. Day 3-4: Havelock Island, historical sites. Day 5: Anthropological Museum. Day 6: Depart Port Blair."
Desert Adventure 17,Egypt,28520,"6D/5N: Day 1: Arrive Cairo, city tour. Day 2-3: Pyramids of Giza, desert safari. Day 4: Nile Cruise, Luxor Temple. Day 5: Valley of the Kings. Day 6: Depart Cairo."
City Lights 18,Jaipur,80590,"6D/5N: Day 1: Arrive Jaipur, explore markets. Day 2: Visit Hawa Mahal, nightlife. Day 3: Tour City Palace. Day 4: Nahargarh Fort, evening lights. Day 5: Amber Fort. Day 6: Depart Jaipur."
Wellness Retreat 19,Tokyo,38366,"9D/8N: Day 1: Arrive Tokyo, spa evening. Day 2-3: Yoga at Shinjuku Gyoen. Day 4-5: Wellness sessions, Meiji Shrine. Day 6-7: Relaxation at Odaiba hot springs. Day 8: Meditation at Senso-ji. Day 9: Depart Tokyo."
Spiritual Journey 20,Mumbai,115966,"7D/6N: Day 1: Arrive Mumbai, visit Siddhivinayak Temple. Day 2: Explore Haji Ali Dargah. Day 3-4: Spiritual walk at Juhu Beach. Day 5: Visit Mount Mary Church. Day 6: Meditation at local ashram. Day 7: Depart Mumbai."
Royal Heritage 21,Himachal Pradesh,139101,"6D/5N: Day 1: Arrive Shimla, visit Viceregal Lodge. Day 2: Explore Chail Palace. Day 3-4: Tour Kufri, heritage sites. Day 5: Christ Church, Shimla. Day 6: Depart Shimla."
